id,가족군,라벨,별칭(동의어 예시),비고
1,원형자연,하늘,,
2,원형자연,땅,,
3,원형자연,빛,,
4,원형자연,어둠,,
5,원형자연,바람,,
6,원형자연,불,,
7,원형자연,물,,
8,기상,비,,
9,기상,눈,,
10,기상,안개,,
11,기상,번개,,
12,기상,무지개,,
13,기상,서리,,
14,기상,구름,,
15,기상,이슬,,
16,지형·수문,산,,
17,지형·수문,바위,,
18,지형·수문,계곡,,
19,지형·수문,사막,,
20,지형·수문,숲,,
21,지형·수문,초원,,
22,지형·수문,해변,,
23,지형·수문,바다,,
24,지형·수문,강,,
25,지형·수문,호수,,
26,지형·수문,폭포,,
27,지형·수문,섬,,
28,지형·수문,동굴,,
29,지형·수문,모래언덕,,
30,지형·수문,절벽,,
31,식물,나무,,
32,식물,포도나무,,
33,식물,올리브나무,,
34,식물,무화과나무,,
35,식물,곡식(밀),,
36,식물,곡식(보리),,
37,식물,갈대,,
38,식물,들꽃,,
39,식물,가시나무,,
40,식물,소나무,,
41,식물,장미,,
42,식물,백합,,
43,동물,비둘기,,
44,동물,양,,
45,동물,사자,,
46,동물,물고기,,
47,동물,새,,
48,동물,말,,
49,동물,개,,
50,동물,사슴,,
51,동물,소,,
52,동물,매(맹금),,
53,동물,개미,,
54,동물,나비,,
55,천체·광원,해,,
56,천체·광원,달,,
57,천체·광원,별,,
58,천체·광원,은하수,,
59,천체·광원,등대,,
60,천체·광원,등불,,
61,천체·광원,촛불,,
62,천체·광원,횃불,,
63,천체·광원,가로등,,
64,건축·예배,교회,,
65,건축·예배,십자가,,
66,건축·예배,성전문,,
67,건축·예배,제단,,
68,건축·예배,강단,,
69,건축·예배,성경책,,
70,건축·예배,성찬상,,
71,건축·예배,세례대,,
72,건축·예배,성가대석,,
73,건축·예배,스테인드글라스,,
74,일상·가정,집,,
75,일상·가정,문,,
76,일상·가정,창문,,
77,일상·가정,식탁,,
78,일상·가정,빵,,
79,일상·가정,잔,,
80,일상·가정,의자,,
81,일상·가정,침대,,
82,일상·가정,부엌,,
83,일상·가정,그릇,,
84,일·도구·생업,책,,
85,일·도구·생업,펜,,
86,일·도구·생업,저울,,
87,일·도구·생업,망치,,
88,일·도구·생업,삽,,
89,일·도구·생업,그물,,
90,일·도구·생업,목자지팡이,,
91,일·도구·생업,낫,,
92,일·도구·생업,쟁기,,
93,일·도구·생업,항아리,,
94,일·도구·생업,토기,,
95,일·도구·생업,바늘,,
96,길·교통,길,,
97,길·교통,오솔길,,
98,길·교통,다리,,
99,길·교통,계단,,
100,길·교통,표지판,,
101,길·교통,신호등,,
102,길·교통,배,,
103,길·교통,노,,
104,길·교통,돛,,
105,길·교통,수레,,
106,길·교통,자동차,,
107,길·교통,기차,,
108,길·교통,버스,,
109,길·교통,비행기,,
110,도시·공공,학교,,
111,도시·공공,병원,,
112,도시·공공,시장,,
113,도시·공공,법원,,
114,도시·공공,공원,,
115,도시·공공,묘지,,
116,도시·공공,터널,,
117,도시·공공,등산로,,
118,도시·공공,공사장,,
119,도시·공공,공장,,
120,도시·공공,항구,,
