topic_name,in_excel_topics_24,in_weights_csv
가정·양육,0,1
거룩·성화,0,1
공동체·연합,0,1
교회,1,0
구원·의(칭의),0,1
그리스도(중보자),1,0
기도,0,1
말씀·진리,0,1
믿음,1,0
믿음·신뢰,0,1
보호·인도,0,1
사랑(아가페),0,1
사랑·정의(디아코니아),1,0
선교·증언,1,0
성경(계시·권위),1,0
성령,1,0
성령·열매,0,1
성찬,1,0
성화,1,0
세례,1,0
소망·부활,0,1
소명(효과적 부르심),1,0
소명·일·청지기,0,1
속죄·부활,1,0
순종·겸손,0,1
언약,1,0
영광·완성,1,0
예배·안식,1,0
예배·찬양,0,1
은혜,0,1
인간·형상,1,0
인간의 응답·순종,1,0
인내·시험,0,1
임재·영광,0,1
정의·공의,0,1
종말·새창조,1,0
죄·타락,1,0
지혜·분별,0,1
창조·섭리,1,1
치유·회복,0,1
칭의,1,0
평강·샬롬,0,1
하나님·삼위,1,0
하나님의 나라,1,0
화해·용서(관계),0,1
회개,1,1
