topic_name,symbols
창조·섭리,"하늘,땅,바다,산,나무,꽃,해,달,별,새,물고기"
임재·영광,"빛,구름,불,천사,왕관,보좌,성전"
거룩·성화,"물,세례,십자가,제단,향,기름"
은혜,"손,팔,품,선물,보석,금,은"
믿음·신뢰,"돌,바위,기초,뿌리,씨앗,나무"
회개,"물,눈물,무릎,길,문,집"
구원·의(칭의),"문,다리,사다리,배,구명조끼,빛,손"
소망·부활,"새벽,아침,해,씨앗,봄,꽃,나비"
말씀·진리,"책,두루마리,등불,빛,거울,검"
기도,"손,무릎,하늘,구름,향,연기"
예배·찬양,"악기,노래,춤,손,입,심벌즈,나팔"
순종·겸손,"무릎,머리,발,길,계단"
사랑(아가페),"손,팔,품,식탁,음식,빵,포도주"
화해·용서(관계),"손,팔,품,다리,문,열쇠"
평강·샬롬,"침대,베개,물,호수,양,목자"
예배·찬양,"웃음,춤,노래,꽃,과일,햇빛"
인내·시험,"가시,십자가,어둠,밤,광야,사막,병원,침대"
인내·시험,"바위,산,나무,뿌리,방패,갑옷"
정의·공의,"불,칼,천둥,번개,폭풍,어둠"
회개,"어둠,밤,가시,독,뱀,무덤"
치유·회복,"물,기름,붕대,약,빛,손,병원,침대"
소명·일·청지기,"길,발,신발,빛,등불,씨앗"
소망·부활,"나팔,천사,구름,하늘,문,왕관"
공동체·연합,"집,건물,기둥,돌,식탁,빵"
