topic_id,topic_name,ref,book_ko,chapter,verse,match_count,text_ko
3,거룩·성화,이사야 1:18,이사야,1,18,1,여호와께서 말씀하시되 오라 우리가 서로 변론하자 너희의 죄가 주홍 같을지라도 눈과 같이 희어질 것이요 진홍 같이 붉을지라도 양털 같이 희게 되리라
24,보호·인도,출애굽기 13:21,출애굽기,13,21,1,여호와께서 그들 앞에서 가시며 낮에는 구름 기둥으로 그들의 길을 인도하시고 밤에는 불 기둥을 그들에게 비추사 낮이나 밤이나 진행하게 하시니
4,은혜,창세기 9:13,창세기,9,13,1,내가 내 무지개를 구름 속에 두었나니 이것이 나와 세상 사이의 언약의 증거니라
4,은혜,신명기 28:12,신명기,28,12,1,여호와께서 너를 위하여 하늘의 아름다운 보고를 여시사 네 땅에 때를 따라 비를 내리시고 네 손으로 하는 모든 일에 복을 주시리니 네가 많은 민족에게 꾸어줄지라도 너는 꾸지 아니할 것이요
1,창조·섭리,시편 147:16,시편,147,16,1,눈을 양털 같이 내리시며 서리를 재 같이 흩으시며
19,정의·공의,시편 18:14,시편,18,14,1,그의 화살을 날려 그들을 흩으심이여 많은 번개로 그들을 깨뜨리셨도다
1,창조·섭리,골로새서 1:16,골로새서,1,16,1,만물이 그에게서 창조되되 하늘과 땅에서 보이는 것들과 보이지 않는 것들과 혹은 왕권들이나 주권들이나 통치자들이나 권세들이나 만물이 다 그로 말미암고 그를 위하여 창조되었고
1,창조·섭리,골로새서 3:10,골로새서,3,10,1,새 사람을 입었으니 이는 자기를 창조하신 이의 형상을 따라 지식에까지 새롭게 하심을 입은 자니라
1,창조·섭리,마가복음 10:6,마가복음,10,6,1,창조 때로부터 사람을 남자와 여자로 지으셨으니
1,창조·섭리,마가복음 13:19,마가복음,13,19,1,이는 그 날들이 환난의 날이 되겠음이라 하나님께서 창조하신 시초부터 지금까지 이런 환난이 없었고 후에도 없으리라
1,창조·섭리,베드로전서 4:19,베드로전서,4,19,1,그러므로 하나님의 뜻대로 고난을 받는 자들은 또한 선을 행하는 가운데에 그 영혼을 미쁘신 창조주께 의탁할지어다
